ID,Name,Glottocode,Glottolog_Name,Macroarea,Latitude,Longitude
Tonga,Tonga,tong1318,Tonga (Zambia),Africa,-17.42,27.1
MukuniMarch,Mukuni-March,,,Africa,-17.905369,25.937401
Mukuni,Mukuni,,,Africa,-17.905369,25.937401
Sekute2013,Sekute 2013,,,Africa,-17.653196,25.634457
Sekute,Sekute,,,Africa,-17.653196,25.634457
Musukotwani,Musukotwani,,,Africa,-17.615317,25.883419
Ila,Ila,ilaa1246,Ila,Africa,-15.61,26.46
Lozi,Lozi,lozi1239,Lozi,Africa,-17.71,24.74
Chewa,Chewa,nyan1308,Nyanja,Africa,-14.8,32.81
Nkoya1,Nkoya_1,nkoy1244,Nkoya,Africa,-14.85,24.76
Nkoya2,Nkoya_2,nkoy1244,Nkoya,Africa,-14.85,24.76
